,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-01-07 01:25:00,01/07/2010 01:25:00 AM,01/08/2010 01:45:00 AM,Noise: Construction Before/After Hours (NM1),40.7526490325462,-73.97485759934074,POINT (-8234843.479463534 4975925.627778215),0
2010-01-08 10:56:06,01/08/2010 10:56:06 AM,01/08/2010 03:08:26 PM,Loud Talking,40.75046461342756,-73.97676046383113,POINT (-8235055.305369654 4975604.63337846),0
2010-01-09 02:48:08,01/09/2010 02:48:08 AM,01/09/2010 10:19:11 AM,Loud Music/Party,40.749951296603214,-73.97651882942782,POINT (-8235028.406750919 4975529.204408818),0
2010-01-11 09:50:48,01/11/2010 09:50:48 AM,01/11/2010 03:46:47 PM,Loud Talking,40.750601833287256,-73.97667379536338,POINT (-8235045.657479957 4975624.797150172),0
2010-01-13 10:16:32,01/13/2010 10:16:32 AM,01/13/2010 12:34:47 PM,Loud Talking,40.75058261786261,-73.97666297452015,POINT (-8235044.452909199 4975621.973537173),0
2010-03-03 23:20:00,03/03/2010 11:20:00 PM,03/05/2010 12:00:00 AM,Noise: Jack Hammering (NC2),40.7499151867288,-73.97450493400444,POINT (-8234804.220937879 4975523.898291349),0
2010-04-10 08:46:00,04/10/2010 08:46:00 AM,04/17/2010 06:15:00 PM,Noise: Jack Hammering (NC2),40.752064098136685,-73.97350434354796,POINT (-8234692.835717769 4975839.672236789),0
2010-04-11 11:43:33,04/11/2010 11:43:33 AM,04/11/2010 12:55:29 PM,Loud Talking,40.74948445212453,-73.9753821176979,POINT (-8234901.868579966 4975460.604790006),0
2010-04-15 10:01:05,04/15/2010 10:01:05 AM,04/15/2010 10:53:48 AM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-04-21 13:05:18,04/21/2010 01:05:18 PM,04/21/2010 01:59:56 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-04-23 10:35:45,04/23/2010 10:35:45 AM,04/23/2010 12:17:35 PM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-04-30 23:01:59,04/30/2010 11:01:59 PM,05/02/2010 12:22:56 AM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-05-03 09:57:44,05/03/2010 09:57:44 AM,05/03/2010 01:06:15 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-05 10:02:43,05/05/2010 10:02:43 AM,05/05/2010 10:26:27 AM,Loud Talking,40.75046461342756,-73.97676046383113,POINT (-8235055.305369654 4975604.63337846),0
2010-05-07 09:40:58,05/07/2010 09:40:58 AM,05/07/2010 03:54:48 PM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-05-10 09:50:01,05/10/2010 09:50:01 AM,05/10/2010 01:27:04 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-12 09:48:12,05/12/2010 09:48:12 AM,05/12/2010 10:36:35 AM,Loud Talking,40.75046461342756,-73.97676046383113,POINT (-8235055.305369654 4975604.63337846),0
2010-05-12 10:02:05,05/12/2010 10:02:05 AM,05/12/2010 10:35:27 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-14 09:42:48,05/14/2010 09:42:48 AM,05/14/2010 11:38:46 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-17 10:17:49,05/17/2010 10:17:49 AM,05/17/2010 11:01:50 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-21 09:43:02,05/21/2010 09:43:02 AM,05/21/2010 09:49:03 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-24 09:48:13,05/24/2010 09:48:13 AM,05/24/2010 02:00:02 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-26 10:06:37,05/26/2010 10:06:37 AM,05/26/2010 11:44:21 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-05-27 01:20:33,05/27/2010 01:20:33 AM,05/27/2010 02:33:51 AM,Engine Idling,40.7499787573044,-73.97658378458938,POINT (-8235035.637526429 4975533.239586959),0
2010-05-28 22:40:41,05/28/2010 10:40:41 PM,05/28/2010 11:19:40 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-06-01 09:54:27,06/01/2010 09:54:27 AM,06/01/2010 01:21:51 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-03 09:49:30,06/03/2010 09:49:30 AM,06/03/2010 10:02:17 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-11 11:25:39,06/11/2010 11:25:39 AM,06/11/2010 11:40:13 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-17 09:38:01,06/17/2010 09:38:01 AM,06/17/2010 03:17:56 PM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-06-18 09:53:30,06/18/2010 09:53:30 AM,06/18/2010 10:02:31 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-21 09:36:19,06/21/2010 09:36:19 AM,06/21/2010 11:21:48 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-23 09:34:57,06/23/2010 09:34:57 AM,06/23/2010 09:43:58 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-25 09:56:55,06/25/2010 09:56:55 AM,06/25/2010 10:05:10 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-06-25 13:25:57,06/25/2010 01:25:57 PM,06/25/2010 03:38:39 PM,Loud Music/Party,40.74948445212453,-73.9753821176979,POINT (-8234901.868579966 4975460.604790006),0
2010-06-28 09:53:40,06/28/2010 09:53:40 AM,06/28/2010 11:03:28 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-02 09:38:00,07/02/2010 09:38:00 AM,07/02/2010 01:14:16 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-07 09:55:26,07/07/2010 09:55:26 AM,07/07/2010 02:09:49 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-12 09:38:45,07/12/2010 09:38:45 AM,07/12/2010 01:02:32 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-15 09:35:10,07/15/2010 09:35:10 AM,07/15/2010 10:33:01 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-15 14:27:15,07/15/2010 02:27:15 PM,07/15/2010 03:36:50 PM,Engine Idling,40.75156517774353,-73.97637028156072,POINT (-8235011.870477995 4975766.356968804),0
2010-07-16 10:01:27,07/16/2010 10:01:27 AM,07/16/2010 11:37:37 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-19 09:45:26,07/19/2010 09:45:26 AM,07/19/2010 10:20:42 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-26 09:33:57,07/26/2010 09:33:57 AM,07/26/2010 05:07:10 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-29 09:44:26,07/29/2010 09:44:26 AM,07/29/2010 09:53:18 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-07-30 09:46:09,07/30/2010 09:46:09 AM,07/30/2010 10:06:17 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-02 09:42:17,08/02/2010 09:42:17 AM,08/02/2010 10:20:05 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-04 09:38:05,08/04/2010 09:38:05 AM,08/04/2010 10:27:37 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-06 09:50:58,08/06/2010 09:50:58 AM,08/06/2010 09:59:45 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-06 10:01:08,08/06/2010 10:01:08 AM,08/06/2010 02:37:53 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-09 09:38:48,08/09/2010 09:38:48 AM,08/09/2010 01:12:27 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-11 09:46:48,08/11/2010 09:46:48 AM,08/11/2010 11:14:25 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-12 18:12:00,08/12/2010 06:12:00 PM,08/19/2010 12:00:00 PM,"Noise, Barking Dog (NR5)",40.74992383586529,-73.97645387431983,POINT (-8235021.175981374 4975525.169226944),0
2010-08-13 09:36:43,08/13/2010 09:36:43 AM,08/13/2010 01:52:58 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-18 09:38:56,08/18/2010 09:38:56 AM,08/18/2010 10:50:23 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-20 09:39:45,08/20/2010 09:39:45 AM,08/20/2010 09:49:30 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-26 09:36:37,08/26/2010 09:36:37 AM,08/26/2010 09:51:32 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-08-30 09:40:28,08/30/2010 09:40:28 AM,08/30/2010 09:47:31 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-09-01 09:35:35,09/01/2010 09:35:35 AM,09/01/2010 10:25:49 AM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-09-08 09:37:47,09/08/2010 09:37:47 AM,09/08/2010 12:04:07 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-09-10 09:35:36,09/10/2010 09:35:36 AM,09/10/2010 10:00:40 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-09-11 22:42:50,09/11/2010 10:42:50 PM,09/11/2010 11:30:46 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-09-13 09:52:18,09/13/2010 09:52:18 AM,09/13/2010 10:06:22 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-09-16 09:27:20,09/16/2010 09:27:20 AM,09/16/2010 09:33:14 AM,Engine Idling,40.75231400877605,-73.97411421320783,POINT (-8234760.726097757 4975876.396269168),0
2010-09-22 20:48:41,09/22/2010 08:48:41 PM,09/22/2010 09:26:06 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-09-27 09:39:18,09/27/2010 09:39:18 AM,09/27/2010 11:13:18 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-09-27 16:07:00,09/27/2010 04:07:00 PM,10/13/2010 05:45:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.75160087645343,-73.97645328154913,POINT (-8235021.10999444 4975771.602798401),0
2010-09-29 21:04:26,09/29/2010 09:04:26 PM,09/29/2010 10:11:17 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-02 00:02:38,10/02/2010 12:02:38 AM,10/02/2010 01:13:06 AM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-02 23:05:52,10/02/2010 11:05:52 PM,10/03/2010 12:00:32 AM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-08 09:38:28,10/08/2010 09:38:28 AM,10/08/2010 10:58:50 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-13 22:07:06,10/13/2010 10:07:06 PM,10/13/2010 10:16:34 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-14 09:48:00,10/14/2010 09:48:00 AM,10/14/2010 09:58:04 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-14 12:40:29,10/14/2010 12:40:29 PM,10/14/2010 01:40:22 PM,Loud Talking,40.749789071856654,-73.97516184712713,POINT (-8234877.348172191 4975505.366531809),0
2010-10-16 22:38:16,10/16/2010 10:38:16 PM,10/16/2010 10:50:05 PM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-18 10:47:12,10/18/2010 10:47:12 AM,10/18/2010 11:08:14 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-21 08:42:53,10/21/2010 08:42:53 AM,10/21/2010 08:54:49 AM,Loud Talking,40.749580505939576,-73.97532433602201,POINT (-8234895.436353229 4975474.719205033),0
2010-10-21 09:35:20,10/21/2010 09:35:20 AM,10/21/2010 12:42:24 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-21 09:43:58,10/21/2010 09:43:58 AM,10/21/2010 09:54:34 AM,Loud Talking,40.75009917907871,-73.9749343541488,POINT (-8234852.023769685 4975550.934832554),0
2010-10-21 09:47:53,10/21/2010 09:47:53 AM,10/21/2010 10:28:36 AM,Loud Music/Party,40.74979730687783,-73.9751654532047,POINT (-8234877.749598909 4975506.576613491),0
2010-10-25 09:35:49,10/25/2010 09:35:49 AM,10/25/2010 01:48:27 PM,Loud Talking,40.75024506339237,-73.97690851648403,POINT (-8235071.786515585 4975572.371686001),0
2010-10-25 09:45:23,10/25/2010 09:45:23 AM,10/25/2010 11:05:06 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-27 21:55:37,10/27/2010 09:55:37 PM,10/27/2010 11:10:08 PM,Loud Music/Party,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-10-27 23:48:24,10/27/2010 11:48:24 PM,10/28/2010 04:57:04 AM,Loud Music/Party,40.75005015437277,-73.97674978093085,POINT (-8235054.116154634 4975543.730947024),0
2010-10-29 09:56:24,10/29/2010 09:56:24 AM,10/29/2010 10:09:25 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-10-29 11:22:48,10/29/2010 11:22:48 AM,10/29/2010 11:47:17 AM,Loud Music/Party,40.751441597785146,-73.97604910329608,POINT (-8234976.117077121 4975748.197247373),0
2010-10-29 13:28:54,10/29/2010 01:28:54 PM,10/29/2010 03:16:25 PM,Loud Talking,40.751441597785146,-73.97604910329608,POINT (-8234976.117077121 4975748.197247373),0
2010-11-01 09:39:17,11/01/2010 09:39:17 AM,11/01/2010 09:46:38 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-01 09:51:59,11/01/2010 09:51:59 AM,11/01/2010 10:03:33 AM,Loud Talking,40.75024506339237,-73.97690851648403,POINT (-8235071.786515585 4975572.371686001),0
2010-11-03 09:45:51,11/03/2010 09:45:51 AM,11/03/2010 11:49:20 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-05 09:38:11,11/05/2010 09:38:11 AM,11/05/2010 01:44:37 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-08 09:45:11,11/08/2010 09:45:11 AM,11/08/2010 11:38:42 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-08 09:50:23,11/08/2010 09:50:23 AM,11/08/2010 02:13:51 PM,Loud Talking,40.75015724664164,-73.97698433944126,POINT (-8235080.227088574 4975559.467518373),0
2010-11-10 09:48:45,11/10/2010 09:48:45 AM,11/10/2010 09:58:56 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-15 09:43:02,11/15/2010 09:43:02 AM,11/15/2010 12:47:58 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-17 06:49:00,11/17/2010 06:49:00 AM,03/17/2011 07:00:00 AM,Noise: Private Carting Noise (NQ1),40.75104871280956,-73.97425907351061,POINT (-8234776.851872898 4975690.464148136),0
2010-11-17 09:43:51,11/17/2010 09:43:51 AM,11/17/2010 12:18:39 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-22 09:48:57,11/22/2010 09:48:57 AM,11/22/2010 10:09:01 AM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-22 10:01:17,11/22/2010 10:01:17 AM,11/22/2010 10:11:00 AM,Loud Talking,40.75046461342756,-73.97676046383113,POINT (-8235055.305369654 4975604.63337846),0
2010-11-24 09:34:53,11/24/2010 09:34:53 AM,11/24/2010 12:10:15 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
2010-11-29 09:40:15,11/29/2010 09:40:15 AM,11/29/2010 01:34:08 PM,Loud Talking,40.750428939714425,-73.97680017728038,POINT (-8235059.726250603 4975599.391311646),0
