,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-01-14 12:03:16,01/14/2010 12:03:16 PM,01/14/2010 02:54:54 PM,Loud Music/Party,40.754437993100346,-73.98811424806044,POINT (-8236319.202848637 4976188.518481303),0
2010-01-15 23:48:46,01/15/2010 11:48:46 PM,01/16/2010 01:08:41 AM,Loud Talking,40.7553303108921,-73.9911785099207,POINT (-8236660.314918579 4976319.648696207),0
2010-02-03 20:33:00,02/03/2010 08:33:00 PM,02/08/2010 11:05:00 AM,"Noise, Barking Dog (NR5)",40.75505318305637,-73.99246711407784,POINT (-8236803.761677186 4976278.923294198),0
2010-02-06 02:08:09,02/06/2010 02:08:09 AM,02/06/2010 09:08:21 AM,Loud Talking,40.75470728755256,-73.9916333785805,POINT (-8236710.950666166 4976228.092357629),0
2010-02-12 23:50:45,02/12/2010 11:50:45 PM,02/13/2010 02:19:05 AM,Loud Music/Party,40.755014681527,-73.99139511755375,POINT (-8236684.427569992 4976273.265304144),0
2010-03-10 03:39:00,03/10/2010 03:39:00 AM,06/18/2010 02:30:00 AM,Noise: Private Carting Noise (NQ1),40.75489395991413,-73.99205204832101,POINT (-8236757.556768489 4976255.524687637),0
2010-03-10 03:59:00,03/10/2010 03:59:00 AM,06/18/2010 02:30:00 AM,Noise: Private Carting Noise (NQ1),40.75505318305637,-73.99246711407784,POINT (-8236803.761677186 4976278.923294198),0
2010-03-10 04:17:00,03/10/2010 04:17:00 AM,06/18/2010 02:30:00 AM,Noise: Private Carting Noise (NQ1),40.75489395991413,-73.99205204832101,POINT (-8236757.556768489 4976255.524687637),0
2010-03-10 16:04:32,03/10/2010 04:04:32 PM,03/10/2010 04:54:30 PM,Loud Talking,40.75426815159779,-73.99196188823672,POINT (-8236747.520193816 4976163.559688563),0
2010-03-11 00:21:15,03/11/2010 12:21:15 AM,03/11/2010 12:35:43 AM,Banging/Pounding,40.755014681527,-73.99139511755375,POINT (-8236684.427569992 4976273.265304144),0
2010-03-17 02:02:00,03/17/2010 02:02:00 AM,04/09/2010 12:00:00 AM,Noise: Private Carting Noise (NQ1),40.754092495854586,-73.99207740961194,POINT (-8236760.379974482 4976137.746540238),0
2010-03-18 01:24:46,03/18/2010 01:24:46 AM,03/18/2010 02:16:37 AM,Banging/Pounding,40.754092495854586,-73.99207740961194,POINT (-8236760.379974482 4976137.746540238),0
