,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-01-06 00:31:17,01/06/2010 12:31:17 AM,01/06/2010 05:54:56 AM,Banging/Pounding,40.72921434159754,-73.99899335876948,POINT (-8237530.259913052 4972482.514283433),0
2010-01-22 00:24:59,01/22/2010 12:24:59 AM,01/22/2010 12:46:57 AM,Loud Talking,40.72931039303492,-73.99788568956492,POINT (-8237406.954741233 4972496.624048864),0
2010-01-28 22:45:50,01/28/2010 10:45:50 PM,01/29/2010 12:03:13 AM,Loud Music/Party,40.72836887045696,-73.99542868007876,POINT (-8237133.441696359 4972358.317130279),0
2010-01-29 01:22:00,01/29/2010 01:22:00 AM,02/18/2010 10:45:00 PM,Noise: Construction Equipment (NC1),40.729617714911406,-73.99496315532276,POINT (-8237081.61971757 4972541.769159133),0
2010-02-06 13:25:38,02/06/2010 01:25:38 PM,02/06/2010 02:01:34 PM,Loud Music/Party,40.728657108694456,-73.99654353320761,POINT (-8237257.546578972 4972400.658278219),0
2010-02-06 23:11:05,02/06/2010 11:11:05 PM,02/06/2010 11:23:53 PM,Loud Music/Party,40.72921434159754,-73.99899335876948,POINT (-8237530.259913052 4972482.514283433),0
2010-02-10 00:38:00,02/10/2010 12:38:00 AM,02/12/2010 08:45:00 PM,Noise: Construction Equipment (NC1),40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-02-13 09:28:00,02/13/2010 09:28:00 AM,02/20/2010 01:00:00 PM,Noise: Construction Before/After Hours (NM1),40.73028752927243,-73.99807327930364,POINT (-8237427.837135425 4972640.16457944),0
2010-02-26 19:25:00,02/26/2010 07:25:00 PM,03/02/2010 09:45:00 PM,Noise: Alarms (NR3),40.72931039303492,-73.99788568956492,POINT (-8237406.954741233 4972496.624048864),0
2010-03-03 17:28:29,03/03/2010 05:28:29 PM,03/03/2010 10:02:36 PM,Car/Truck Horn,40.727561937808716,-73.99612867649515,POINT (-8237211.364940988 4972239.78263675),0
2010-03-07 01:19:50,03/07/2010 01:19:50 AM,03/08/2010 03:50:22 PM,Loud Music/Party,40.72902769948698,-73.9991521146,POINT (-8237547.932531265 4972455.096986228),0
2010-03-17 19:36:33,03/17/2010 07:36:33 PM,03/17/2010 11:57:11 PM,Loud Talking,40.727561937808716,-73.99612867649515,POINT (-8237211.364940988 4972239.78263675),0
2010-03-25 07:50:00,03/25/2010 07:50:00 AM,03/29/2010 02:45:00 PM,Noise: Jack Hammering (NC2),40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-03-27 01:21:05,03/27/2010 01:21:05 AM,03/27/2010 01:28:39 AM,Loud Music/Party,40.72898103892437,-73.99919180341865,POINT (-8237552.350670348 4972448.242668804),0
2010-03-31 04:53:45,03/31/2010 04:53:45 AM,03/31/2010 05:57:32 AM,Loud Music/Party,40.7290304444001,-73.9991737627038,POINT (-8237550.342387157 4972455.5002071),0
2010-04-03 12:26:00,04/03/2010 12:26:00 PM,04/15/2010 12:45:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.73022988767658,-73.9979722545043,POINT (-8237416.591106205 4972631.697016678),0
2010-04-04 16:21:08,04/04/2010 04:21:08 PM,04/05/2010 12:41:50 AM,Loud Music/Party,40.73028752927243,-73.99807327930364,POINT (-8237427.837135425 4972640.16457944),0
2010-04-05 10:50:12,04/05/2010 10:50:12 AM,04/05/2010 05:41:59 PM,Engine Idling,40.72968643549426,-73.99860368130426,POINT (-8237486.88121605 4972551.864135421),0
2010-04-07 20:51:00,04/07/2010 08:51:00 PM,07/21/2010 08:00:00 PM,"Noise, Ice Cream Truck (NR4)",40.72806703327709,-73.99895368841987,POINT (-8237525.843829934 4972313.978543778),0
2010-04-13 13:55:00,04/13/2010 01:55:00 PM,04/21/2010 12:15:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.72868734209225,-73.99842330201122,POINT (-8237466.801484999 4972405.099464938),0
2010-04-22 05:48:00,04/22/2010 05:48:00 AM,07/22/2010 01:00:00 AM,Noise: Construction Before/After Hours (NM1),40.729307600037046,-73.99605280628055,POINT (-8237202.919107333 4972496.213762737),0
2010-04-30 10:54:13,04/30/2010 10:54:13 AM,04/30/2010 01:02:52 PM,Loud Music/Party,40.728533637601906,-73.99856401750088,POINT (-8237482.465861655 4972382.520801687),0
2010-04-30 13:01:14,04/30/2010 01:01:14 PM,04/30/2010 02:55:39 PM,Loud Music/Party,40.72931039303492,-73.99788568956492,POINT (-8237406.954741233 4972496.624048864),0
2010-04-30 13:48:40,04/30/2010 01:48:40 PM,04/30/2010 02:55:40 PM,Loud Music/Party,40.72931039303492,-73.99788568956492,POINT (-8237406.954741233 4972496.624048864),0
2010-05-11 19:05:52,05/11/2010 07:05:52 PM,05/11/2010 08:31:34 PM,Loud Music/Party,40.72881076096117,-73.99506063261937,POINT (-8237092.470840592 4972423.229311869),0
2010-05-11 19:08:55,05/11/2010 07:08:55 PM,05/11/2010 07:36:00 PM,Loud Music/Party,40.72899467522728,-73.99543946121287,POINT (-8237134.641846717 4972450.245806362),0
2010-05-16 22:55:16,05/16/2010 10:55:16 PM,05/17/2010 01:29:50 AM,Loud Music/Party,40.72979348359966,-73.99884181131429,POINT (-8237513.389727509 4972567.589402412),0
2010-05-17 23:35:21,05/17/2010 11:35:21 PM,05/18/2010 01:15:05 AM,Loud Talking,40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-06-15 22:01:00,06/15/2010 10:01:00 PM,06/18/2010 01:45:00 AM,Noise: Construction Before/After Hours (NM1),40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-06-15 22:20:00,06/15/2010 10:20:00 PM,06/18/2010 01:45:00 AM,Noise: Construction Before/After Hours (NM1),40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-06-18 17:54:50,06/18/2010 05:54:50 PM,06/19/2010 04:23:18 AM,Loud Music/Party,40.72979348359966,-73.99884181131429,POINT (-8237513.389727509 4972567.589402412),0
2010-06-20 11:54:07,06/20/2010 11:54:07 AM,06/20/2010 01:24:07 PM,Loud Music/Party,40.7297769253605,-73.99530951738959,POINT (-8237120.176566478 4972565.157010844),0
2010-06-23 02:48:43,06/23/2010 02:48:43 AM,06/23/2010 06:25:21 AM,Banging/Pounding,40.729617714911406,-73.99496315532276,POINT (-8237081.61971757 4972541.769159133),0
2010-07-03 03:22:22,07/03/2010 03:22:22 AM,07/03/2010 03:43:30 AM,Loud Music/Party,40.72911276304618,-73.99750685293887,POINT (-8237364.782840926 4972467.592618091),0
2010-07-14 17:09:00,07/14/2010 05:09:00 PM,07/16/2010 12:12:00 PM,"Noise, Barking Dog (NR5)",40.729444899165664,-73.99879491278044,POINT (-8237508.169006602 4972516.382766624),0
2010-07-15 23:20:00,07/15/2010 11:20:00 PM,07/27/2010 01:45:00 AM,Noise: Construction Before/After Hours (NM1),40.72806703327709,-73.99895368841987,POINT (-8237525.843829934 4972313.978543778),0
2010-08-07 08:05:00,08/07/2010 08:05:00 AM,08/07/2010 03:45:00 PM,Noise: Construction Before/After Hours (NM1),40.729121020570226,-73.9990727367959,POINT (-8237539.096234532 4972468.805629325),0
2010-08-10 22:01:53,08/10/2010 10:01:53 PM,08/11/2010 09:15:20 AM,Loud Music/Party,40.72806703327709,-73.99895368841987,POINT (-8237525.843829934 4972313.978543778),0
2010-08-13 11:50:00,08/13/2010 11:50:00 AM,08/23/2010 03:46:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.72864342629236,-73.99844495106333,POINT (-8237469.211446456 4972398.648379005),0
2010-08-13 12:04:00,08/13/2010 12:04:00 PM,10/27/2010 12:57:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.72788038556849,-73.99855681565572,POINT (-8237481.664155918 4972286.560896944),0
2010-08-16 23:39:18,08/16/2010 11:39:18 PM,08/17/2010 12:18:22 AM,Loud Music/Party,40.72918133273584,-73.99581107566262,POINT (-8237176.009778035 4972477.665351896),0
2010-08-22 13:25:26,08/22/2010 01:25:26 PM,08/22/2010 03:12:32 PM,Banging/Pounding,40.729617714911406,-73.99496315532276,POINT (-8237081.61971757 4972541.769159133),0
2010-09-10 17:24:00,09/10/2010 05:24:00 PM,11/01/2010 01:15:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.72841278597895,-73.99541424510747,POINT (-8237131.834802705 4972364.768148771),0
2010-09-12 11:52:00,09/12/2010 11:52:00 AM,09/19/2010 08:30:00 AM,Noise: Construction Before/After Hours (NM1),40.72819321240205,-73.99559105112965,POINT (-8237151.516759064 4972332.513691317),0
2010-09-21 22:17:07,09/21/2010 10:17:07 PM,09/21/2010 11:04:02 PM,Loud Talking,40.72902769948698,-73.9991521146,POINT (-8237547.932531265 4972455.096986228),0
