,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-01-27 07:55:05,01/27/2010 07:55:05 AM,01/27/2010 11:38:32 AM,Banging/Pounding,40.753651634498475,-73.97867231108252,POINT (-8235268.131232153 4976072.960916921),0
2010-02-01 23:39:00,02/01/2010 11:39:00 PM,03/02/2010 03:12:00 PM,Noise: Private Carting Noise (NQ1),40.75237837252757,-73.98036186542791,POINT (-8235456.211561549 4975885.854458255),0
2010-02-05 15:13:19,02/05/2010 03:13:19 PM,02/05/2010 07:32:43 PM,Loud Music/Party,40.754782696794955,-73.97993524527216,POINT (-8235408.720423049 4976239.17407039),0
2010-02-24 22:45:00,02/24/2010 10:45:00 PM,03/02/2010 10:45:00 PM,Noise: Jack Hammering (NC2),40.754782696794955,-73.97993524527216,POINT (-8235408.720423049 4976239.17407039),0
2010-03-02 00:05:23,03/02/2010 12:05:23 AM,03/02/2010 12:37:01 AM,Banging/Pounding,40.75324546647367,-73.97896840657762,POINT (-8235301.092431895 4976013.273941236),0
2010-03-19 15:20:27,03/19/2010 03:20:27 PM,03/19/2010 05:47:28 PM,Loud Music/Party,40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
2010-03-29 15:19:00,03/29/2010 03:19:00 PM,03/30/2010 10:00:00 PM,Noise: Jack Hammering (NC2),40.753168827373244,-73.98017394720561,POINT (-8235435.292600733 4976002.011756044),0
2010-03-31 12:37:47,03/31/2010 12:37:47 PM,03/31/2010 03:23:33 PM,Loud Music/Party,40.75446709103573,-73.98016634199958,POINT (-8235434.445993069 4976192.79452935),0
2010-04-02 16:05:25,04/02/2010 04:05:25 PM,04/02/2010 04:17:58 PM,Loud Music/Party,40.75348184923692,-73.98088850486347,POINT (-8235514.836795347 4976048.010684073),0
2010-04-10 06:27:00,04/10/2010 06:27:00 AM,04/17/2010 02:00:00 PM,Noise: Construction Equipment (NC1),40.754782696794955,-73.97993524527216,POINT (-8235408.720423049 4976239.17407039),0
2010-04-12 18:27:57,04/12/2010 06:27:57 PM,04/12/2010 08:58:37 PM,Loud Music/Party,40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
2010-04-13 12:42:45,04/13/2010 12:42:45 PM,04/13/2010 01:55:45 PM,Loud Talking,40.75452732562932,-73.97931450466444,POINT (-8235339.619894682 4976201.646229166),0
2010-04-15 13:23:41,04/15/2010 01:23:41 PM,04/15/2010 02:59:23 PM,Loud Music/Party,40.75358613879583,-73.98082350658456,POINT (-8235507.601220036 4976063.336204515),0
2010-04-18 04:13:19,04/18/2010 04:13:19 AM,04/18/2010 04:56:16 AM,Loud Music/Party,40.75295491901864,-73.98126041589853,POINT (-8235556.237742391 4975970.577798353),0
2010-04-20 23:58:00,04/20/2010 11:58:00 PM,05/08/2010 12:30:00 AM,Noise: Jack Hammering (NC2),40.752814955096504,-73.98137234392712,POINT (-8235568.697513539 4975950.01007295),0
2010-04-23 11:23:45,04/23/2010 11:23:45 AM,04/23/2010 11:37:11 AM,Loud Music/Party,40.75371727253437,-73.97743427946223,POINT (-8235130.314182596 4976082.606554965),0
2010-05-05 19:31:17,05/05/2010 07:31:17 PM,05/05/2010 08:22:38 PM,Loud Music/Party,40.75348184923692,-73.98088850486347,POINT (-8235514.836795347 4976048.010684073),0
2010-05-07 10:16:51,05/07/2010 10:16:51 AM,05/07/2010 01:32:21 PM,Loud Music/Party,40.75348184923692,-73.98088850486347,POINT (-8235514.836795347 4976048.010684073),0
2010-05-19 10:50:38,05/19/2010 10:50:38 AM,05/19/2010 11:02:21 AM,Loud Talking,40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
2010-06-12 15:24:01,06/12/2010 03:24:01 PM,06/12/2010 03:49:25 PM,Loud Music/Party,40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
2010-07-23 16:07:00,07/23/2010 04:07:00 PM,08/11/2010 12:15:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
2010-08-02 18:10:54,08/02/2010 06:10:54 PM,08/03/2010 12:24:54 AM,Loud Music/Party,40.75348184923692,-73.98088850486347,POINT (-8235514.836795347 4976048.010684073),0
2010-08-03 18:03:24,08/03/2010 06:03:24 PM,08/03/2010 06:15:46 PM,Loud Music/Party,40.75348184923692,-73.98088850486347,POINT (-8235514.836795347 4976048.010684073),0
2010-08-07 02:17:38,08/07/2010 02:17:38 AM,08/07/2010 02:27:55 AM,Loud Music/Party,40.75403561973509,-73.97721399958486,POINT (-8235105.792738816 4976129.38843526),0
2010-09-01 14:50:26,09/01/2010 02:50:26 PM,09/01/2010 03:47:16 PM,Loud Music/Party,40.75443415594943,-73.98017718000342,POINT (-8235435.652474138 4976187.954598079),0
2010-09-14 14:09:22,09/14/2010 02:09:22 PM,09/14/2010 04:36:06 PM,Loud Music/Party,40.75415422893016,-73.98039382634562,POINT (-8235459.769434634 4976146.818396598),0
