,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-03-05 16:00:47,03/05/2010 04:00:47 PM,03/05/2010 07:01:18 PM,Loud Talking,40.78085010786264,-73.96091997470776,POINT (-8233291.950186524 4980070.645820537),0
2010-03-08 04:53:04,03/08/2010 04:53:04 AM,03/08/2010 05:27:05 AM,Loud Music/Party,40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2010-03-19 03:26:00,03/19/2010 03:26:00 AM,03/23/2010 01:45:00 AM,Noise: Jack Hammering (NC2),40.78085833839319,-73.96090913738175,POINT (-8233290.74378091 4980071.855807736),0
2010-03-19 09:33:00,03/19/2010 09:33:00 AM,03/25/2010 12:15:00 AM,Noise: Jack Hammering (NC2),40.78085833839319,-73.96090913738175,POINT (-8233290.74378091 4980071.855807736),0
2010-03-20 00:51:00,03/20/2010 12:51:00 AM,03/27/2010 10:45:00 AM,Noise: Jack Hammering (NC2),40.78085833839319,-73.96090913738175,POINT (-8233290.74378091 4980071.855807736),0
2010-03-20 11:59:00,03/20/2010 11:59:00 AM,03/25/2010 12:30:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78071823880664,-73.96056258050513,POINT (-8233252.165245874 4980051.259500256),0
2010-03-20 20:01:27,03/20/2010 08:01:27 PM,03/20/2010 08:23:03 PM,Loud Music/Party,40.77871981327765,-73.95981634590494,POINT (-8233169.094790169 4979757.471880244),0
2010-04-02 15:20:59,04/02/2010 03:20:59 PM,04/02/2010 04:21:05 PM,Loud Music/Party,40.780857608946064,-73.9588148553697,POINT (-8233057.609373751 4980071.748570208),0
2010-04-11 23:45:13,04/11/2010 11:45:13 PM,04/12/2010 12:19:10 AM,Banging/Pounding,40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2010-04-18 03:31:17,04/18/2010 03:31:17 AM,04/18/2010 05:57:31 AM,Loud Music/Party,40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2010-04-22 07:46:00,04/22/2010 07:46:00 AM,04/26/2010 02:45:00 PM,Noise: Jack Hammering (NC2),40.78152514006051,-73.96041405700396,POINT (-8233235.631685354 4980169.884188283),0
2010-04-30 01:16:40,04/30/2010 01:16:40 AM,04/30/2010 03:13:54 AM,Loud Music/Party,40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2010-05-02 19:21:00,05/02/2010 07:21:00 PM,05/14/2010 12:00:00 PM,Noise: Alarms (NR3),40.78152514006051,-73.96041405700396,POINT (-8233235.631685354 4980169.884188283),0
2010-05-07 01:31:05,05/07/2010 01:31:05 AM,05/07/2010 02:24:06 AM,Loud Music/Party,40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2010-05-07 08:49:00,05/07/2010 08:49:00 AM,06/16/2010 01:55:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.78129438370439,-73.95984006817093,POINT (-8233171.73554074 4980135.959938764),0
2010-05-08 00:00:47,05/08/2010 12:00:47 AM,05/08/2010 12:46:47 AM,Loud Music/Party,40.77871981327765,-73.95981634590494,POINT (-8233169.094790169 4979757.471880244),0
2010-05-24 14:45:26,05/24/2010 02:45:26 PM,05/24/2010 03:50:02 PM,Engine Idling,40.778906601845605,-73.9602386881257,POINT (-8233216.109711124 4979784.931207455),0
2010-05-25 01:25:00,05/25/2010 01:25:00 AM,08/12/2010 01:45:00 AM,Noise: Construction Before/After Hours (NM1),40.78162392194581,-73.96033094818989,POINT (-8233226.380054491 4980184.406473578),0
2010-06-02 14:11:11,06/02/2010 02:11:11 PM,06/02/2010 02:46:38 PM,Loud Music/Party,40.78085010786264,-73.96091997470776,POINT (-8233291.950186524 4980070.645820537),0
2010-06-06 10:44:08,06/06/2010 10:44:08 AM,06/06/2010 11:21:14 AM,Loud Music/Party,40.78085010786264,-73.96091997470776,POINT (-8233291.950186524 4980070.645820537),0
2010-06-08 07:42:00,06/08/2010 07:42:00 AM,06/25/2010 07:45:00 AM,Noise: Construction Before/After Hours (NM1),40.77996830834801,-73.95879735149875,POINT (-8233055.660851751 4979941.011531575),0
2010-06-10 11:49:00,06/10/2010 11:49:00 AM,06/14/2010 08:00:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.78129438370439,-73.95984006817093,POINT (-8233171.73554074 4980135.959938764),0
2010-06-10 13:40:00,06/10/2010 01:40:00 PM,06/15/2010 09:30:00 PM,Noise: Construction Before/After Hours (NM1),40.78085833839319,-73.96090913738175,POINT (-8233290.74378091 4980071.855807736),0
2010-06-23 16:25:00,06/23/2010 04:25:00 PM,07/12/2010 08:05:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.78110209027971,-73.9593779959817,POINT (-8233120.297899925 4980107.6903411),0
2010-06-23 22:23:00,06/23/2010 10:23:00 PM,06/25/2010 09:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78031703998562,-73.95921959960177,POINT (-8233102.665295566 4979992.278736566),0
2010-06-24 21:14:00,06/24/2010 09:14:00 PM,06/29/2010 08:05:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.781299894549385,-73.95990144939537,POINT (-8233178.568467389 4980136.770104804),0
2010-07-14 10:02:00,07/14/2010 10:02:00 AM,08/01/2010 08:00:00 AM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.78114894167804,-73.95992320538606,POINT (-8233180.990333195 4980114.578089515),0
2010-07-15 04:01:55,07/15/2010 04:01:55 AM,07/15/2010 06:41:23 AM,Loud Talking,40.78085010786264,-73.96091997470776,POINT (-8233291.950186524 4980070.645820537),0
2010-07-22 20:24:00,07/22/2010 08:24:00 PM,07/28/2010 08:15:00 PM,Noise: Jack Hammering (NC2),40.78017434567043,-73.95930995686227,POINT (-8233112.723819796 4979971.301144443),0
2010-08-18 15:13:51,08/18/2010 03:13:51 PM,08/18/2010 11:09:59 PM,Loud Music/Party,40.780857608946064,-73.9588148553697,POINT (-8233057.609373751 4980071.748570208),0
2010-09-18 13:49:13,09/18/2010 01:49:13 PM,09/18/2010 02:51:54 PM,Banging/Pounding,40.780640597034434,-73.9583203072496,POINT (-8233002.55652885 4980039.845253923),0
2010-09-25 13:06:43,09/25/2010 01:06:43 PM,09/25/2010 02:03:17 PM,Loud Talking,40.78153063076997,-73.96041766460797,POINT (-8233236.033281996 4980170.691396941),0
2010-09-30 11:35:00,09/30/2010 11:35:00 AM,11/09/2010 12:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78035565415114,-73.95975397503081,POINT (-8233162.151696221 4979997.955440075),0
2010-10-01 10:53:00,10/01/2010 10:53:00 AM,11/09/2010 12:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78035565415114,-73.95975397503081,POINT (-8233162.151696221 4979997.955440075),0
2010-10-02 16:56:24,10/02/2010 04:56:24 PM,10/02/2010 05:20:27 PM,Loud Music/Party,40.778906601845605,-73.9602386881257,POINT (-8233216.109711124 4979784.931207455),0
2010-10-02 17:12:12,10/02/2010 05:12:12 PM,10/02/2010 05:20:26 PM,Loud Music/Party,40.778906601845605,-73.9602386881257,POINT (-8233216.109711124 4979784.931207455),0
2010-10-09 20:58:43,10/09/2010 08:58:43 PM,10/09/2010 10:11:31 PM,Loud Music/Party,40.77926952762422,-73.96207995169597,POINT (-8233421.078234184 4979838.284252842),0
2010-10-12 15:34:00,10/12/2010 03:34:00 PM,10/18/2010 11:30:00 AM,Noise: Construction Equipment (NC1),40.77997173497194,-73.9607507833908,POINT (-8233273.115895272 4979941.515279888),0
2010-11-01 16:30:00,11/01/2010 04:30:00 PM,11/11/2010 09:00:00 AM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.77850597591552,-73.96054583720986,POINT (-8233250.301390771 4979726.036271229),0
2010-11-02 09:24:00,11/02/2010 09:24:00 AM,11/09/2010 12:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78035565415114,-73.95975397503081,POINT (-8233162.151696221 4979997.955440075),0
2010-11-02 10:25:00,11/02/2010 10:25:00 AM,11/09/2010 12:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78035565415114,-73.95975397503081,POINT (-8233162.151696221 4979997.955440075),0
2010-11-03 08:40:24,11/03/2010 08:40:24 AM,11/03/2010 12:33:02 PM,Car/Truck Horn,40.780512229587,-73.96011496170014,POINT (-8233202.336548434 4980020.973770796),0
2010-11-03 12:49:00,11/03/2010 12:49:00 PM,11/10/2010 03:00:00 PM,Horn Honking Sign Requested (NR9),40.78152514006051,-73.96041405700396,POINT (-8233235.631685354 4980169.884188283),0
2010-11-06 22:51:16,11/06/2010 10:51:16 PM,11/06/2010 11:02:40 PM,Loud Music/Party,40.778819357667544,-73.96197910786051,POINT (-8233409.85234977 4979772.105646159),0
2010-11-09 12:19:00,11/09/2010 12:19:00 PM,12/08/2010 11:00:00 AM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.77981241305572,-73.96037896746614,POINT (-8233231.725535871 4979918.093377076),0
2010-11-11 21:27:00,11/11/2010 09:27:00 PM,01/13/2011 10:00:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.778272726418884,-73.96070123515072,POINT (-8233267.600210418 4979691.747056141),0
2010-11-20 09:39:00,11/20/2010 09:39:00 AM,12/08/2010 11:00:00 AM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78035565415114,-73.95975397503081,POINT (-8233162.151696221 4979997.955440075),0
2010-11-23 11:44:05,11/23/2010 11:44:05 AM,11/23/2010 12:51:46 PM,Loud Music/Party,40.779585092341726,-73.96183785088455,POINT (-8233394.127695135 4979884.675073424),0
2010-12-09 12:48:00,12/09/2010 12:48:00 PM,12/22/2010 09:45:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.778272726418884,-73.96070123515072,POINT (-8233267.600210418 4979691.747056141),0
2010-12-17 08:06:07,12/17/2010 08:06:07 AM,12/17/2010 09:28:41 AM,Car/Truck Horn,40.78085010786264,-73.96091997470776,POINT (-8233291.950186524 4980070.645820537),0
2010-12-21 11:14:00,12/21/2010 11:14:00 AM,12/29/2010 12:30:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.78132185368297,-73.95990504702833,POINT (-8233178.968954057 4980139.998384323),0
2011-01-06 06:14:00,01/06/2011 06:14:00 AM,01/13/2011 10:00:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.778272726418884,-73.96070123515072,POINT (-8233267.600210418 4979691.747056141),0
2011-01-11 19:21:00,01/11/2011 07:21:00 PM,01/13/2011 10:00:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.77868475913932,-73.96165783117426,POINT (-8233374.087992654 4979752.318666329),0
2011-01-16 15:16:29,01/16/2011 03:16:29 PM,01/16/2011 03:32:31 PM,Loud Music/Party,40.7794752249616,-73.96160321465916,POINT (-8233368.008110004 4979868.523566211),0
2011-01-19 11:38:00,01/19/2011 11:38:00 AM,01/20/2011 08:00:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.78130538401869,-73.95990144608956,POINT (-8233178.568099387 4980137.57712841),0
2011-01-21 11:32:00,01/21/2011 11:32:00 AM,02/01/2011 09:45:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.780025998051,-73.95893813648345,POINT (-8233071.33296456 4979949.49250385),0
2011-02-14 12:07:00,02/14/2011 12:07:00 PM,02/24/2011 08:00:00 AM,Noise: Vehicle (NR2),40.78056948258776,-73.95901362847248,POINT (-8233079.736694336 4980029.390612297),0
2011-02-22 11:17:00,02/22/2011 11:17:00 AM,02/28/2011 02:30:00 PM,Noise: Construction Equipment (NC1),40.77988384304725,-73.96057390702825,POINT (-8233253.42610866 4979928.594287765),0
2011-03-11 22:40:00,03/11/2011 10:40:00 PM,03/15/2011 10:45:00 PM,Noise: Construction Before/After Hours (NM1),40.779585092341726,-73.96183785088455,POINT (-8233394.127695135 4979884.675073424),0
2011-03-14 21:11:00,03/14/2011 09:11:00 PM,03/16/2011 11:00:00 PM,Noise: Construction Before/After Hours (NM1),40.779585092341726,-73.96183785088455,POINT (-8233394.127695135 4979884.675073424),0
2011-03-29 23:08:27,03/29/2011 11:08:27 PM,03/29/2011 11:56:46 PM,Loud Music/Party,40.77941684964089,-73.95945484989679,POINT (-8233128.853238618 4979859.941872371),0
2011-03-30 18:29:00,03/30/2011 06:29:00 PM,04/01/2011 08:00:00 PM,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",40.7794752249616,-73.96160321465916,POINT (-8233368.008110004 4979868.523566211),0
2011-04-02 23:14:25,04/02/2011 11:14:25 PM,04/02/2011 11:49:49 PM,Loud Music/Party,40.7787335482836,-73.95984883406591,POINT (-8233172.711355706 4979759.491026999),0
2011-04-14 20:31:41,04/14/2011 08:31:41 PM,04/14/2011 10:30:36 PM,Banging/Pounding,40.77975176947132,-73.95963157378294,POINT (-8233148.526051635 4979909.178183096),0
2011-04-29 19:37:42,04/29/2011 07:37:42 PM,04/29/2011 10:22:38 PM,Car/Truck Horn,40.7787335482836,-73.95984883406591,POINT (-8233172.711355706 4979759.491026999),0
