,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-01-15 19:41:20,01/15/2010 07:41:20 PM,01/16/2010 01:54:21 AM,Loud Music/Party,40.69437985690095,-73.98718374992555,POINT (-8236215.620270078 4967366.739917689),0
2010-02-16 03:53:07,02/16/2010 03:53:07 AM,02/16/2010 04:03:02 AM,Engine Idling,40.69352349636601,-73.98724882436797,POINT (-8236222.86432387 4967241.008949373),0
2010-02-28 12:54:00,02/28/2010 12:54:00 PM,03/30/2010 01:35:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.69282895229449,-73.98622844103508,POINT (-8236109.27577084 4967139.037082682),0
2010-03-03 09:10:00,03/03/2010 09:10:00 AM,03/09/2010 11:00:00 PM,Noise: Jack Hammering (NC2),40.69282895229449,-73.98622844103508,POINT (-8236109.27577084 4967139.037082682),0
2010-03-04 15:49:00,03/04/2010 03:49:00 PM,03/11/2010 08:15:00 PM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-03-05 13:09:00,03/05/2010 01:09:00 PM,03/09/2010 12:15:00 PM,Noise: Jack Hammering (NC2),40.69282895229449,-73.98622844103508,POINT (-8236109.27577084 4967139.037082682),0
2010-03-15 12:40:00,03/15/2010 12:40:00 PM,05/18/2010 09:30:00 PM,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",40.69260101770024,-73.98526927832249,POINT (-8236002.502266086 4967105.572316207),0
2010-04-03 03:29:24,04/03/2010 03:29:24 AM,04/03/2010 04:07:07 AM,Loud Talking,40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-04-05 22:57:00,04/05/2010 10:57:00 PM,04/07/2010 10:30:00 PM,Noise: Construction Before/After Hours (NM1),40.69221418958715,-73.98678750280482,POINT (-8236171.510242368 4967048.779477042),0
2010-04-06 00:56:00,04/06/2010 12:56:00 AM,04/07/2010 10:30:00 PM,Noise: Construction Equipment (NC1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-04-06 08:20:00,04/06/2010 08:20:00 AM,04/12/2010 06:30:00 AM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-04-06 10:31:00,04/06/2010 10:31:00 AM,04/08/2010 08:15:00 PM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-04-06 23:28:00,04/06/2010 11:28:00 PM,04/08/2010 09:00:00 PM,Noise: Construction Before/After Hours (NM1),40.69493969809695,-73.98638667689822,POINT (-8236126.89050655 4967448.936750572),0
2010-04-07 23:33:00,04/07/2010 11:33:00 PM,04/14/2010 10:30:00 AM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-04-08 22:50:00,04/08/2010 10:50:00 PM,04/12/2010 11:15:00 PM,Noise: Jack Hammering (NC2),40.69245828787041,-73.98525488567955,POINT (-8236000.900084402 4967084.617150738),0
2010-04-08 23:07:00,04/08/2010 11:07:00 PM,04/12/2010 11:15:00 PM,Noise: Construction Before/After Hours (NM1),40.69245828787041,-73.98525488567955,POINT (-8236000.900084402 4967084.617150738),0
2010-04-08 23:08:00,04/08/2010 11:08:00 PM,04/12/2010 11:15:00 PM,Noise: Construction Before/After Hours (NM1),40.69245828787041,-73.98525488567955,POINT (-8236000.900084402 4967084.617150738),0
2010-04-12 22:03:00,04/12/2010 10:03:00 PM,04/20/2010 01:15:00 AM,Noise: Construction Before/After Hours (NM1),40.69245828787041,-73.98525488567955,POINT (-8236000.900084402 4967084.617150738),0
2010-04-12 22:58:00,04/12/2010 10:58:00 PM,04/20/2010 01:45:00 AM,Noise: Jack Hammering (NC2),40.69282895229449,-73.98622844103508,POINT (-8236109.27577084 4967139.037082682),0
2010-04-15 10:45:00,04/15/2010 10:45:00 AM,04/19/2010 10:15:00 AM,Noise: Jack Hammering (NC2),40.693690628001534,-73.98478581874285,POINT (-8235948.683791863 4967265.547111544),0
2010-04-21 00:39:00,04/21/2010 12:39:00 AM,04/28/2010 02:00:00 AM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-06-15 00:40:00,06/15/2010 12:40:00 AM,06/28/2010 12:00:00 AM,Noise: Jack Hammering (NC2),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-06-15 00:45:00,06/15/2010 12:45:00 AM,06/25/2010 01:15:00 AM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-06-16 17:51:00,06/16/2010 05:51:00 PM,06/29/2010 08:00:00 AM,Noise: Construction Before/After Hours (NM1),40.69219491584677,-73.98627184435122,POINT (-8236114.107405891 4967045.9497781),0
2010-06-16 21:57:00,06/16/2010 09:57:00 PM,06/28/2010 12:00:00 AM,Noise: Construction Before/After Hours (NM1),40.69282895229449,-73.98622844103508,POINT (-8236109.27577084 4967139.037082682),0
