,Created Date,Closed Date,Descriptor,Latitude,Longitude,geometry,index_right
2010-02-14 23:19:37,02/14/2010 11:19:37 PM,02/15/2010 01:23:29 AM,Loud Music/Party,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-03-08 03:25:41,03/08/2010 03:25:41 AM,03/08/2010 05:28:07 AM,Banging/Pounding,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-04-09 23:02:25,04/09/2010 11:02:25 PM,04/09/2010 11:30:44 PM,Loud Music/Party,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-05-30 01:59:26,05/30/2010 01:59:26 AM,05/30/2010 03:42:49 AM,Banging/Pounding,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-09-19 21:51:05,09/19/2010 09:51:05 PM,09/19/2010 10:53:42 PM,Loud Music/Party,40.73778134777565,-73.85173400477963,POINT (-8221137.423612355 4973741.070593198),0
2010-10-07 00:31:58,10/07/2010 12:31:58 AM,10/07/2010 01:22:29 AM,Banging/Pounding,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-10-10 23:22:15,10/10/2010 11:22:15 PM,10/11/2010 12:06:09 AM,Loud Music/Party,40.73631514022435,-73.85134034085074,POINT (-8221093.601144247 4973525.662409614),0
2010-11-02 20:45:33,11/02/2010 08:45:33 PM,11/02/2010 10:39:56 PM,Loud Music/Party,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2010-11-07 01:52:13,11/07/2010 01:52:13 AM,11/07/2010 02:45:55 AM,Loud Music/Party,40.739382685227774,-73.85049630393601,POINT (-8220999.643384689 4973976.336838172),0
2010-11-07 03:52:52,11/07/2010 03:52:52 AM,11/07/2010 05:12:17 AM,Loud Music/Party,40.739382685227774,-73.85049630393601,POINT (-8220999.643384689 4973976.336838172),0
2010-11-26 01:49:39,11/26/2010 01:49:39 AM,11/26/2010 04:09:19 AM,Banging/Pounding,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2011-01-30 07:03:18,01/30/2011 07:03:18 AM,01/30/2011 08:18:43 AM,Loud Music/Party,40.73728616078615,-73.85085824716009,POINT (-8221039.93472009 4973668.319563969),0
2011-02-28 05:32:04,02/28/2011 05:32:04 AM,02/28/2011 06:19:31 AM,Loud Music/Party,40.73903336137528,-73.852048772866,POINT (-8221172.463435448 4973925.014186377),0
2011-02-28 06:55:07,02/28/2011 06:55:07 AM,02/28/2011 07:57:43 AM,Loud Music/Party,40.73903336137528,-73.852048772866,POINT (-8221172.463435448 4973925.014186377),0
2011-06-05 06:44:01,06/05/2011 06:44:01 AM,06/05/2011 07:15:56 AM,Loud Talking,40.73636456433825,-73.85135466428295,POINT (-8221095.195621427 4973532.923486141),0
2011-06-06 15:48:00,06/06/2011 03:48:00 PM,06/14/2011 12:45:00 AM,"Noise, Ice Cream Truck (NR4)",40.738379289872654,-73.85355498412261,POINT (-8221340.134105559 4973828.918742092),0
2011-06-25 01:14:25,06/25/2011 01:14:25 AM,06/25/2011 02:49:18 AM,Loud Music/Party,40.73731723729312,-73.85368722355925,POINT (-8221354.85493231 4973672.885192769),0
2011-07-17 23:50:40,07/17/2011 11:50:40 PM,07/18/2011 03:56:15 AM,Loud Music/Party,40.73928968159093,-73.85287456938295,POINT (-8221264.390683213 4973962.672719816),0
2011-07-18 00:11:10,07/18/2011 12:11:10 AM,07/18/2011 03:56:14 AM,Loud Music/Party,40.73963670457937,-73.85165770401686,POINT (-8221128.929850296 4974013.657524295),0
